lat;lon;escola;logradouro;num;cidade;cod
-6.38285370;-35.12485680;ESCOLA ESTADUAL GUIOMAR VASCONCELOS;AV.JOAO GOMES DE TORRES;403;CANGUARETAMA - RN;165
-6.26891590;-35.20903140;ESCOLA ESTADUAL JOAO TIBURCIO;RUA JOAO TIBURCIO;360;GOIANINHA - RN;166
-6.26891590;-35.20903140;ESCOLA ESTADUAL MOREIRA BRANDAO;RUA DR. JOAO PRIMENIO;119;GOIANINHA - RN;167
-5.883332999999999;-36.30;ESCOLA ESTADUAL  VEREADOR ANTONIO ANANIAS;RUA TEREZA NUNES;146;MONTE ALEGRE - RN;169
-6.093588599999999;-35.21036330;ESCOLA ESTADUAL NISIA FLORESTA;R PADRE JOSE HERMINIO;60;NISIA FLORESTA - RN;180
-6.093588599999999;-35.21036330;ESCOLA ESTADUAL PROFESSOR MANOEL LAURENTINO;RUA AGNELO XAVIE;62;NISIA FLORESTA - RN;181
-5.9245347;-35.2825388;CE TRAMPOLIM DA VITORIA;RUA JOEL IMPERADOR;1015;PARNAMIRIM - RN;184
-5.9269383;-35.26077660000001;ESCOLA ESTADUAL MARIA CRISTINA;R MANOEL COSTA;455;PARNAMIRIM - RN;186
-5.9134002;-35.27304609999999;ESCOLA ESTADUAL PRESIDENTE ROOSEVELT;RUA EDGAR DANTAS;7;PARNAMIRIM - RN;187
-5.9235891;-35.26015659999999;ESCOLA ESTADUAL PROFESSOR ELIAH MAIA DO REGO;BRIGADEIRO SOUTO;51;PARNAMIRIM - RN;190
-6.05482070;-35.23805810;EE LARANJEIRAS DO ABDIAS - ENSINO MEDIO;RUA SAO JOSE;406;SAO JOSE DE MIPIBU - RN;195
-6.07294940;-35.29307860;EE BARAO DE MIPIBU - ENSINO FUNDAMENTAL;PCA CAP JOSE DA PENHA;56;SAO JOSE DE MIPIBU - RN;200
-6.06023310;-35.24053960;EE PROF. RAFAEL GARCIA ENSINO FUNDAMENTAL;R GOV RAFAEL FERNANDES;660;SAO JOSE DE MIPIBU - RN;203
-6.162030199999999;-35.12635970;ESCOLA ESTADUAL JOSE ALVES ACIOLE;RUA SANTA LUZIA;355;SENADOR GEORGINO AVELINO - RN;204
-6.189680399999999;-35.09151940;ESCOLA ESTADUAL PROFESSOR JOSE MAMEDE;R PRES JUSCELINO KUBISTCHEK;173;TIBAU DO SUL - RN;207
-6.04414510;-35.4283260;ESCOLA ESTADUAL MONSENHOR PAIVA;PRACA 31 DE MARCO;111;VERA CRUZ - RN;209
-6.19119420;-35.35782650;ESCOLA ESTADUAL PRESIDENTE CAFE FILHO;AV ANTONIO ALVES PESSOA;418;BREJINHO - RN;212
-6.33448430;-35.30927130;EE PROF JOAO MARIA DIAS;RUA MANOEL THEODORO FREIRE;69;ESPIRITO SANTO - RN;215
-6.33448430;-35.30927130;EE JOAQUIM DA LUZ ENS 1 E 2 GRAUS;ALTO SAO JOSE;149;ESPIRITO SANTO - RN;216
-6.15578980;-35.60129340;ESCOLA ESTADUAL MARIA DO ROSARIO BEZERRA;AV. MANOEL JOAQUIM DE SOUZA;371;BOA SAUDE - RN;217
-6.485311299999999;-35.28638820;ESCOLA ESTADUAL  CARLOS GOMES;R S JOSE;101;MONTANHAS - RN;225
-6.485311299999999;-35.28638820;ESCOLA ESTADUAL  PROFESSORA OCILA BEZERRIL;RUA SAO JOSE;449;MONTANHAS - RN;226
-6.43910570;-35.7820280;ESCOLA ESTADUAL  FELISMINO JOSE DA COSTA;RUA JUSTINIANO DA COSTA;198;MONTE DAS GAMELEIRAS - RN;227
-6.479258199999999;-35.43483930;ESCOLA ESTADUAL  DJALMA MARINHO;RUA ASSIS CHATEAUBRIAND;1500;NOVA CRUZ - RN;232
-6.4792580;-35.4348390;ESCOLA ESTADUAL  PRESIDENTE GETULIO VARGAS;RUA SENADOR GEORGINO AVELINO;348;NOVA CRUZ - RN;233
-6.479258199999999;-35.43483930;ESCOLA ESTADUAL  PROFESSORA FIRMA FRANCELINA DE OLIVEIRA;RUA JORGE FELIPE DA SILVA;71;NOVA CRUZ - RN;234
-6.479258199999999;-35.43483930;ESCOLA ESTADUAL  ROSA PIGNATARO;RUA PROF. REGINALDO DE OLIVEIRA;250;NOVA CRUZ - RN;235
-6.479258199999999;-35.43483930;ESCOLA ESTADUAL  SANTA LUZIA;RUA DR GALDINO LIMA;224;NOVA CRUZ - RN;236
-6.43625680;-35.64291990;ESCOLA ESTADUAL  DEPUTADO DJALMA ARANHA MARINHO;RUA JOAO FERNANDES SOBRINHO;135;PASSA E FICA - RN;238
-6.43625680;-35.64291990;ESCOLA ESTADUAL SENADOR JOAO CAMARA;RUA ANTONIO ARRUDA CAMARA;1347;PASSA E FICA - RN;239
-6.439693999999999;-35.22190160;ESCOLA ESTADUAL PROFESSORA MARIA OCILA BEZERRIL;AV. PROF. GENAR BEZERRIL;484;PEDRO VELHO - RN;243
-6.439693999999999;-35.22190160;ESCOLA ESTADUAL DOUTOR PEDRO VELHO;AV. PROFESSOR GENAR BEZERRIL;1450;PEDRO VELHO - RN;244
-6.439693999999999;-35.22190160;ESCOLA ESTADUAL FABRICIO MARANHAO;RUA JOAO PESSOA;110;PEDRO VELHO - RN;245
-5.897780;-37.5065690;EE DR MANOEL DANTAS ENS 1 GRAU;AVENIDA LINDOLFO GOMES VIDAL;376;SANTO ANTONIO - RN;248
-5.897780;-37.5065690;EE FILOMENA DE AZEVEDO;AV DR. PEDRO VELHO;152;SANTO ANTONIO - RN;249
-6.312358799999999;-35.71514040;EE BELMIRA LARA;RUA SENADOR GEORGINO AVELINO;720;SAO JOSE DO CAMPESTRE - RN;253
-6.312358799999999;-35.71514040;EE PADRE TOMAZ DE AQUINO ENS 1 GRAU;R SENADOR JOAO CAMARA;275;SAO JOSE DO CAMPESTRE - RN;255
-6.27846970;-35.49948770;ESCOLA ESTADUAL DOMITILA NORONHA;RUA JOSE CORREIA DE ANDRADE;36;SERRINHA - RN;258
-6.348174299999999;-35.37629580;ESCOLA ESTADUAL DOM JOAQUIM DE ALMEIDA;RUA D JOAQUIM DE ALMEIDA;4;VARZEA - RN;259
-5.95106720;-35.92064280;ESCOLA ESTADUAL PROFESSOR TERTULIANO PINHEIRO FILHO;PCA FRANCISCO OSVALDO DA ROCHA;70;BARCELONA - RN;260
-5.4333330;-36.6500001;ESCOLA ESTADUAL JOAO ALVES DE MELO;RUA MANOEL ANDRADE;84;BOM JESUS - RN;261
-5.984823599999999;-35.58398720;ESCOLA ESTADUAL NATALIA FONSECA;R ALMIR FREIRE;460;BOM JESUS - RN;262
-5.76032680;-35.99854230;ESCOLA ESTADUAL 7 DE SETEMBRO;PRACA JOSE VITORINO DE ANDRADE;53;CAICARA DO RIO DO VENTO - RN;263
